"Updates","params_6","params_10","params_3","params_9","params_7","params_1","params_4","params_8","params_2","params_5"
"2190.0","308.8939393939394","235.85185185185185","nan","nan","nan","197.01694915254237","138.0","nan","635.2","237.8286913990402"
"2200.0","328.145","208.07407407407408","nan","nan","nan","187.05","nan","nan","307.0","237.11752881914174"
"2210.0","233.98095238095237","211.66666666666666","nan","nan","nan","180.64615384615385","nan","nan","nan","232.6664702581369"
"2220.0","261.7651515151515","207.04545454545453","nan","nan","nan","201.07142857142858","nan","nan","283.8333333333333","226.73762262715752"
"2230.0","368.0555555555556","277.55","nan","nan","nan","187.58620689655172","122.5","nan","nan","221.6364057239057"
"2240.0","268.1818181818182","195.0","nan","90.0","538.0","420.75961538461536","103.0","nan","645.0","234.00449080110096"
"2250.0","256.78472222222223","234.33333333333334","nan","109.0","nan","180.42","nan","nan","615.0","215.7283950617284"
"2260.0","284.3961038961039","217.84615384615384","nan","nan","nan","163.75409836065575","155.0","nan","976.0","234.0015768693726"
"2270.0","266.85416666666663","203.95454545454547","nan","nan","nan","542.7395833333334","nan","nan","nan","221.4106043956044"
"2280.0","324.03703703703707","209.95454545454547","75.0","nan","nan","530.9591836734694","nan","nan","nan","219.6343888815587"
"2290.0","316.09237536656894","205.6206896551724","nan","nan","nan","568.9102564102565","nan","nan","310.3333333333333","217.26009615384615"
"2300.0","265.8581081081081","211.7058823529412","nan","nan","nan","193.4468085106383","nan","nan","nan","235.18878146747"
"2310.0","252.20714285714286","362.125","nan","nan","766.0","207.22222222222223","111.0","nan","406.0","230.63768926158863"
"2320.0","256.0542328042328","298.15384615384613","nan","nan","nan","227.77358490566039","79.0","nan","454.8333333333333","212.40977478740305"
"2330.0","422.6867588932806","503.125","57.0","nan","nan","205.93103448275863","nan","nan","530.0","220.75101214574897"
"2340.0","204.3505747126437","227.42105263157896","nan","85.0","nan","209.77358490566039","135.0","nan","nan","227.07693413862526"
"2350.0","227.80392156862746","316.94117647058823","49.0","nan","nan","189.82456140350877","nan","nan","nan","229.21751700680272"
"2360.0","247.8929146537842","247.3","nan","nan","nan","217.73076923076923","139.0","nan","219.0","208.1881453527117"
"2370.0","433.53720238095235","244.3181818181818","125.0","nan","nan","190.42307692307693","nan","nan","576.5","223.71107463964609"
"2380.0","493.4313319530711","184.9375","nan","nan","nan","209.9056603773585","nan","nan","413.0","200.4001717536258"
"2390.0","226.49768518518516","191.3125","nan","nan","nan","206.47727272727272","nan","nan","482.5","215.57498020115625"
"2400.0","486.05","323.35333333333335","nan","nan","nan","194.7741935483871","nan","nan","318.0","193.60339297832067"
"2410.0","420.5533333333333","209.8","nan","44.0","922.0","182.43333333333334","81.0","nan","591.0","198.6988542785535"
"2420.0","342.36442307692306","188.26315789473685","nan","nan","nan","219.4181818181818","104.0","nan","nan","210.33733808064076"
"2430.0","326.5661933739013","214.0","nan","nan","nan","233.73076923076923","nan","nan","nan","214.43634555271385"
"2440.0","177.01767676767676","208.03571428571428","nan","61.0","nan","215.13725490196077","nan","nan","452.0","232.29717813051147"
"2450.0","238.9975845410628","570.4166666666666","nan","nan","nan","184.0","nan","nan","326.0","216.05327700972862"
"2460.0","284.28047619047624","136.925","nan","nan","679.5","206.85185185185185","123.0","nan","175.0","206.60863095238096"
"2470.0","266.4014285714286","164.94827586206895","nan","130.0","423.0","154.97297297297297","nan","nan","133.5","253.09997921121408"
"2480.0","455.66875","211.96153846153845","nan","nan","nan","193.20634920634922","nan","nan","219.0","215.3577264239029"
"2490.0","290.0603616813294","214.4","nan","nan","nan","193.04761904761904","105.0","nan","nan","199.6602064436886"
"2500.0","383.4679738562092","188.5","nan","nan","nan","203.9795918367347","nan","nan","344.0","189.21227355072466"
"2510.0","284.5357142857143","209.52","nan","nan","nan","187.75510204081633","156.0","nan","791.0","199.7580357142857"
"2520.0","302.1690177638454","367.6730769230769","nan","67.0","nan","180.955223880597","nan","nan","nan","353.0399769864341"
"2530.0","287.4761904761904","451.86842105263156","nan","nan","nan","197.51785714285714","nan","nan","nan","206.4109996082797"
"2540.0","276.63739106753815","220.19230769230768","nan","nan","nan","183.81666666666666","100.0","nan","436.0","205.25949917528865"
"2550.0","314.12638888888887","397.8333333333333","nan","nan","564.0","180.66071428571428","141.0","nan","51.0","221.73544600938968"
"2560.0","322.9455882352941","212.92307692307693","nan","nan","nan","164.0","nan","nan","nan","221.43662490788503"
"2570.0","285.4482437275986","198.72549019607845","nan","nan","nan","180.11111111111111","nan","nan","392.0","191.83846618357487"
"2580.0","248.3872793872794","192.2173913043478","nan","nan","748.0","179.7017543859649","nan","nan","nan","188.07060185185185"
"2590.0","443.4689772727273","217.1578947368421","nan","nan","nan","180.56451612903226","nan","nan","nan","220.62254173740803"
"2600.0","232.43324372759855","233.8695652173913","nan","nan","94.0","196.08","nan","nan","nan","201.14262011618192"
"2610.0","271.47499999999997","600.452380952381","nan","nan","nan","183.5625","123.0","nan","nan","304.16258884150676"
"2620.0","369.4993235930736","194.88888888888889","nan","nan","nan","189.33333333333334","71.0","nan","nan","177.84289128950147"
"2630.0","203.18888888888887","237.05263157894737","nan","nan","364.5","467.9090909090909","nan","nan","402.0","220.83515406162465"
"2640.0","233.98616416263476","239.14285714285714","nan","44.0","nan","213.7719298245614","nan","nan","nan","206.2870526188866"
"2650.0","249.3571428571429","225.8","nan","nan","nan","219.56363636363636","nan","nan","nan","209.10174531351004"
"2660.0","265.5344669117647","213.8","nan","nan","nan","197.78688524590163","nan","nan","nan","382.927575340481"
"2670.0","308.7515907224959","187.82142857142858","nan","nan","nan","173.0952380952381","181.0","nan","502.5","210.10968964700308"
"2680.0","384.8613445378151","201.0","nan","nan","126.0","239.06382978723406","nan","nan","584.3333333333334","383.5680803571429"
"2690.0","268.34204532349213","212.5","nan","nan","nan","434.5188679245283","92.0","nan","nan","279.526439186581"
"2700.0","204.7415343915344","196.03703703703704","nan","167.0","nan","178.54545454545453","nan","nan","144.0","249.7241622554392"
"2710.0","221.41468253968253","211.64285714285714","nan","nan","77.5","164.97333333333333","nan","nan","169.0","213.20288865546217"
"2720.0","408.3002199413489","193.05263157894737","nan","nan","nan","157.25806451612902","nan","nan","574.1666666666666","210.3727860374919"
"2730.0","379.3358836206897","171.52","nan","nan","nan","188.0327868852459","109.0","nan","nan","259.92450629704155"
"2740.0","200.90126126126123","198.27586206896552","nan","nan","nan","245.42857142857142","nan","nan","nan","230.4425831361315"
