"PandaController_2019_08_11__15_19_02__148767vjuribgiiz","PandaController_2019_08_11__15_19_34__478560dcxzbosnrv","PandaController_2019_08_11__15_34_38__360623vyziwdnqsj","PandaController_2019_08_11__15_36_11__029089ybyhkobuwk","PandaController_2019_08_11__15_41_05__262730fzyxnprhgl","Mean_over_std_grasp_times"
"nan","262.71621132375464","45.41335927282817","162.29728646962124","181.9456251914725","163.09312056441914"
"nan","212.106852003104","27.51537326893881","108.37039878736874","125.1663629776492","118.2897467592652"
"nan","226.62641799519608","45.6719852049168","119.10941453797406","105.07425945492074","124.1205192982519"
"nan","167.6691186036753","34.11528651244861","164.4323007759167","194.0713663529353","140.072018061244"
"nan","280.1352224500569","55.63080789263074","112.07071770149878","143.05883113833505","147.72389479563037"
"nan","164.56833487067087","51.33244463100186","92.58460364395816","254.7020504489981","140.79685839865724"
"nan","232.9411059120511","44.694943014109356","68.05432612514672","157.99026492010137","125.92015999285213"
"nan","220.90191129042933","52.310271721997715","92.55849590069349","146.11352914324124","127.97105201409043"
"nan","186.644479973992","143.35019557513192","46.10097612849429","137.17618435995206","128.31795900939255"
"nan","260.27523892986824","43.79531266887709","64.53389150445958","111.11636971683164","119.93020320500914"
"nan","177.43461360530296","66.92617717105048","150.78446595194677","98.0658167342969","123.30276836564927"
"nan","189.31718719762623","88.24350442932729","98.73726560446983","143.45956788951938","129.93938128023566"
"nan","196.97979829330853","74.18666685100186","106.22795732470298","229.58684118881644","151.74531591445745"
"nan","171.59973057224633","60.77980433815673","144.11438065004106","269.02552543082845","161.37986024781816"
"nan","172.6072130590144","69.87211051597761","84.58293760170153","156.1315448221068","120.79845149970009"
"nan","188.9063476623655","47.71671531690882","86.4923357178602","284.14148052049876","151.8142198044083"
"nan","174.92591317130297","40.75769476478868","107.099811228673","130.8299418489916","113.40334025343907"
"nan","167.80391909355959","56.37459331331651","105.80857103138528","197.00402228208853","131.74777643008747"
"nan","187.5212484352603","143.5820956171701","77.20236146248776","191.7947083340089","150.02510346223178"
"nan","145.41304862406582","57.445534845488304","96.68634346099613","199.31356226783993","124.71462229959755"
"nan","197.87258679781948","97.61129221466179","90.48270026706237","121.84891049675952","126.9538724440758"
"nan","171.59017116986993","144.9921453811282","98.55753120143453","142.06650310452434","139.30158771423925"
"nan","238.11248842271408","68.01579431177782","106.49467160081335","193.71872879885902","151.58542078354108"
"nan","216.14430805543296","41.39273764996379","60.82146002851296","133.79651486179512","113.0387551489262"
"nan","266.9137010524634","48.76209120271134","101.86006913511558","116.81271196842985","133.58714333968004"
"nan","227.9054315155427","108.91207221279105","71.08821620183349","105.80581631691338","128.42788406177016"
"nan","156.55559639279832","106.85660173023159","155.6521250917701","177.45339577465873","149.12942974736467"
"nan","145.46390486662875","44.16777053489329","86.45753155107288","134.7802203300165","102.71735682065285"
"nan","220.8773630859657","69.00340997541566","82.288782213379","146.7979661205933","129.7418803488384"
