"PandaController_2019_08_11__07_58_24__024733gzfwxrhysh","PandaController_2019_08_11__10_19_04__127417bjsoeijqno","PandaController_2019_08_11__13_52_10__020172aunazfahtv","PandaController_2019_08_11__15_00_58__017286qhcugfzows","PandaController_2019_08_11__12_31_14__388038vpxtxvdzcw","Mean_over_mean_grasp_times"
"268.89130434782606","nan","nan","135.68965517241378","161.86885245901638","188.8166039930854"
"228.08","nan","nan","140.64285714285714","178.51785714285714","182.41357142857143"
"258.2708333333333","nan","nan","136.4659090909091","174.04761904761904","189.59478715728713"
"252.9591836734694","nan","821.5","148.375","189.09230769230768","352.9816228414443"
"289.3809523809524","nan","nan","138.41379310344828","191.80701754385964","206.53392100942008"
"275.6363636363636","nan","371.0","143.10843373493975","151.76315789473685","235.37698881651005"
"307.0769230769231","nan","819.5","146.14814814814815","173.0677966101695","361.4482169588102"
"270.80434782608694","nan","549.0","141.24705882352941","182.25806451612902","285.82736779143636"
"275.5581395348837","nan","nan","140.89285714285714","160.9402985074627","192.4637650617345"
"296.6585365853659","nan","nan","142.63855421686748","157.48648648648648","198.92785909623993"
"262.4791666666667","nan","nan","140.85882352941175","150.4102564102564","184.58274886877825"
"304.8974358974359","nan","nan","138.96511627906978","167.71428571428572","203.85894596359717"
"304.5609756097561","nan","484.0","139.9294117647059","159.9041095890411","272.0986242408758"
"236.28","nan","762.0","146.17073170731706","167.11864406779662","327.8923439437784"
"321.8157894736842","nan","960.0","147.0493827160494","180.88524590163934","402.43760452284323"
"285.2142857142857","nan","nan","153.57692307692307","148.30555555555554","195.69892144892142"
"252.2941176470588","nan","nan","151.93589743589743","181.71186440677965","195.31395982991197"
"286.3953488372093","nan","nan","136.24137931034483","210.34615384615384","210.99429399790267"
"236.1764705882353","nan","nan","138.45348837209303","162.3846153846154","179.00485811498126"
"274.5609756097561","nan","nan","138.58333333333334","159.59322033898306","190.91250976069082"
"266.35555555555555","nan","nan","143.70731707317074","172.859375","194.3074158762421"
"281.1136363636364","nan","nan","143.6265060240964","165.015625","196.5852557959109"
