"PandaController_2019_08_11__08_22_13__165309nhlzdqdbhl","PandaController_2019_08_11__14_18_17__188334jzlipczgwe","PandaController_2019_08_11__11_30_38__945755wjtcehpbcy","PandaController_2019_08_11__13_23_12__851503oqrypyiuqc","PandaController_2019_08_11__15_12_46__701247ieqnuidezx","Mean_over_mean_grasp_times"
"nan","176.24","nan","349.8888888888889","nan","263.06444444444446"
"nan","151.9090909090909","nan","265.4","nan","208.65454545454543"
"nan","172.40540540540542","nan","236.77777777777777","nan","204.5915915915916"
"nan","165.6875","nan","212.84","nan","189.26375000000002"
"nan","162.77777777777777","nan","321.53333333333336","nan","242.15555555555557"
"nan","185.32142857142858","nan","385.8","nan","285.5607142857143"
"nan","164.03030303030303","nan","341.10526315789474","nan","252.5677830940989"
"nan","180.21428571428572","nan","241.36","nan","210.78714285714287"
"nan","184.47368421052633","nan","280.55","nan","232.51184210526316"
"nan","172.86486486486487","nan","374.1875","nan","273.52618243243245"
"nan","174.375","nan","334.9","nan","254.6375"
"596.0","168.53571428571428","nan","262.7083333333333","nan","342.4146825396825"
"nan","177.39285714285714","nan","222.66666666666666","nan","200.0297619047619"
"nan","153.58536585365854","nan","306.6470588235294","nan","230.11621233859398"
"nan","188.24242424242425","nan","303.95238095238096","nan","246.0974025974026"
"323.0","158.1904761904762","nan","236.94117647058823","nan","239.37721755368815"
"nan","193.27272727272728","nan","319.23809523809524","nan","256.2554112554113"
"nan","175.19444444444446","nan","275.9130434782609","nan","225.55374396135267"
"nan","179.54285714285714","nan","214.17241379310346","nan","196.8576354679803"
"nan","180.25714285714287","nan","227.04347826086956","nan","203.65031055900621"
"nan","183.67741935483872","nan","295.09090909090907","nan","239.3841642228739"
"nan","174.52173913043478","nan","283.1818181818182","nan","228.8517786561265"
"nan","177.8709677419355","nan","336.72222222222223","nan","257.2965949820789"
"nan","179.93939393939394","nan","227.24137931034483","nan","203.59038662486938"
"nan","160.33333333333334","nan","324.25","nan","242.29166666666669"
