"PandaController_2019_07_11__04_22_12__463949axucqtuhun","PandaController_2019_07_11__07_52_35__792458blpwiaskud","PandaController_2019_08_11__08_38_47__735509zcglqsaenn","PandaController_2019_08_11__11_34_05__216181wrezbfoqef","PandaController_2019_08_11__13_28_46__876978roceimuexi","Mean_over_mean_grasp_times"
"nan","245.42857142857142","nan","nan","nan","245.42857142857142"
"nan","205.1090909090909","nan","nan","nan","205.1090909090909"
"nan","189.09259259259258","nan","nan","nan","189.09259259259258"
"nan","216.28846153846155","454.0","nan","81.0","250.42948717948718"
"nan","186.5","442.0","nan","nan","314.25"
"nan","188.18032786885246","nan","nan","nan","188.18032786885246"
"nan","163.86764705882354","nan","nan","nan","163.86764705882354"
"nan","210.46428571428572","nan","nan","180.0","195.23214285714286"
"nan","220.01923076923077","nan","nan","nan","220.01923076923077"
"nan","199.0","nan","nan","244.0","221.5"
"nan","240.2156862745098","nan","nan","nan","240.2156862745098"
"nan","191.734375","nan","nan","nan","191.734375"
"nan","200.34426229508196","nan","nan","nan","200.34426229508196"
"nan","187.85714285714286","nan","nan","443.0","315.42857142857144"
"nan","171.2972972972973","nan","nan","847.0","509.14864864864865"
"nan","162.57333333333332","nan","nan","973.0","567.7866666666666"
"nan","170.08333333333334","nan","nan","594.0","382.0416666666667"
"nan","206.74545454545455","nan","nan","110.0","158.37272727272727"
"nan","176.84375","nan","nan","134.0","155.421875"
"nan","164.986301369863","nan","nan","164.33333333333334","164.65981735159818"
"nan","236.8913043478261","465.0","nan","292.0","331.2971014492754"
"nan","216.06896551724137","nan","nan","348.0","282.0344827586207"
"nan","173.52173913043478","nan","nan","892.5","533.0108695652174"
"nan","199.375","nan","nan","470.4","334.8875"
"nan","218.92592592592592","nan","nan","317.0","267.96296296296293"
"nan","253.20408163265307","nan","nan","546.5","399.8520408163265"
"nan","193.98387096774192","nan","nan","451.0","322.491935483871"
"nan","230.82692307692307","nan","nan","214.0","222.41346153846155"
"nan","208.60344827586206","nan","nan","534.0","371.30172413793105"
"nan","177.3968253968254","nan","nan","179.0","178.1984126984127"
"nan","175.5441176470588","nan","nan","nan","175.5441176470588"
"nan","180.46969696969697","nan","nan","640.3333333333334","410.4015151515152"
"nan","180.47692307692307","nan","nan","77.0","128.73846153846154"
"nan","215.90243902439025","nan","nan","862.0","538.9512195121952"
"nan","192.125","nan","nan","274.0","233.0625"
"nan","198.61666666666667","nan","nan","616.5","407.55833333333334"
"nan","201.5593220338983","211.0","nan","522.0","311.51977401129943"
"nan","168.72857142857143","nan","nan","196.5","182.6142857142857"
"nan","192.24528301886792","nan","nan","nan","192.24528301886792"
"nan","210.61016949152543","nan","nan","516.5","363.5550847457627"
"nan","182.95454545454547","nan","nan","333.57142857142856","258.262987012987"
"nan","189.36507936507937","nan","nan","364.8","277.0825396825397"
"nan","211.93103448275863","nan","nan","468.6666666666667","340.2988505747127"
"nan","201.08333333333334","65.0","nan","381.5","215.86111111111111"
"nan","222.34545454545454","nan","nan","470.85714285714283","346.6012987012987"
"nan","233.96153846153845","551.0","nan","186.0","323.65384615384613"
"nan","198.1764705882353","nan","nan","528.6666666666666","363.42156862745094"
"nan","210.31034482758622","453.0","nan","257.6666666666667","306.992337164751"
"nan","179.69354838709677","nan","nan","466.125","322.9092741935484"
"nan","209.10169491525423","369.0","nan","584.8571428571429","387.6529459241324"
"nan","185.81666666666666","nan","nan","453.44444444444446","319.6305555555556"
"nan","201.55357142857142","857.0","nan","263.625","440.7261904761904"
"nan","199.68852459016392","809.0","nan","275.6","428.09617486338794"
"nan","211.51020408163265","599.0","nan","379.6666666666667","396.72562358276645"
"nan","189.2923076923077","337.5","nan","505.4","344.06410256410254"
"nan","206.4406779661017","164.0","nan","464.875","278.4385593220339"
"nan","202.76666666666668","424.5","nan","575.3333333333334","400.8666666666666"
"nan","242.15686274509804","470.0","nan","360.5416666666667","357.56617647058823"
"nan","183.6818181818182","797.0","nan","370.55","450.4106060606061"
"nan","193.94642857142858","nan","nan","582.2142857142857","388.0803571428571"
"nan","190.70967741935485","405.0","nan","438.4375","344.71572580645164"
"nan","189.21666666666667","282.0","nan","388.3888888888889","286.5351851851852"
"nan","182.0","nan","nan","404.0","293.0"
"nan","219.85416666666666","nan","nan","312.65625","266.2552083333333"
"nan","224.9","nan","nan","324.1666666666667","274.53333333333336"
"nan","195.16981132075472","140.0","nan","383.11538461538464","239.42839864537981"
"nan","215.05555555555554","140.0","nan","417.48","257.5118518518519"
"nan","191.95","nan","nan","298.94117647058823","245.4455882352941"
"nan","204.47457627118644","nan","nan","345.73333333333335","275.10395480225986"
"nan","179.07142857142858","nan","nan","269.8205128205128","224.4459706959707"
"nan","253.40816326530611","242.0","nan","252.61363636363637","249.34059987631417"
"nan","168.3125","467.0","nan","221.68627450980392","285.6662581699347"
"nan","216.1851851851852","546.0","nan","243.0","335.0617283950617"
"nan","243.87234042553192","596.0","nan","214.37037037037038","351.4142369319674"
"nan","197.19148936170214","784.0","nan","203.58928571428572","394.92692502532924"
"nan","212.54545454545453","517.6666666666666","nan","216.28301886792454","315.4983800266819"
"nan","201.19298245614036","423.75","nan","212.07272727272726","279.00523657628924"
"nan","194.80701754385964","nan","nan","255.41304347826087","225.11003051106024"
"nan","229.28301886792454","215.33333333333334","nan","223.9433962264151","222.85324947589098"
"nan","196.01818181818183","675.6666666666666","nan","240.3469387755102","370.6772624201196"
"nan","167.75384615384615","369.6666666666667","nan","262.1777777777778","266.53276353276357"
"nan","234.15555555555557","468.3333333333333","nan","219.6530612244898","307.38065003779286"
"nan","196.5","252.5","nan","203.17241379310346","217.39080459770116"
"nan","210.21666666666667","472.5","nan","220.9795918367347","301.23208616780045"
"nan","196.22641509433961","677.0","nan","196.98360655737704","356.73667388390555"
"nan","171.45454545454547","430.6666666666667","nan","201.0","267.7070707070707"
"nan","157.6103896103896","627.5","nan","235.26","340.1234632034632"
"nan","189.8125","411.6666666666667","nan","245.24444444444444","282.2412037037037"
"nan","176.69565217391303","184.5","nan","212.36363636363637","191.18642951251647"
"nan","232.1764705882353","344.6","nan","225.8095238095238","267.528664799253"
"nan","199.69230769230768","480.85714285714283","nan","269.94871794871796","316.8327228327228"
"nan","179.1304347826087","398.75","nan","258.2083333333333","278.69625603864733"
"nan","178.171875","365.6666666666667","nan","193.96428571428572","245.93427579365084"
"nan","200.04918032786884","349.2","nan","206.64912280701753","251.9661010449621"
"nan","216.6153846153846","459.6","nan","193.56666666666666","289.9273504273504"
"nan","186.61818181818182","384.0","nan","182.64615384615385","251.0881118881119"
"nan","154.57746478873239","556.8333333333334","nan","214.375","308.5952660406886"
"nan","165.66216216216216","530.6666666666666","nan","228.3653846153846","308.23140448140447"
"nan","185.31147540983608","576.2222222222222","nan","176.2622950819672","312.59866423800844"
"nan","203.89285714285714","546.4","nan","204.69230769230768","318.3283882783883"
"nan","196.21052631578948","433.61538461538464","nan","206.2982456140351","278.7080521817364"
"nan","208.28813559322035","387.3636363636364","nan","237.6590909090909","277.7702876219825"
"nan","186.27692307692308","516.7777777777778","nan","182.90769230769232","295.32079772079777"
"nan","194.2280701754386","407.44444444444446","nan","183.9047619047619","261.85909217488165"
"nan","187.73846153846154","406.1904761904762","nan","162.84615384615384","252.25836385836385"
"nan","165.0441176470588","498.5625","nan","173.19402985074626","278.933549165935"
"nan","170.42253521126761","392.3809523809524","nan","172.9344262295082","245.2459712739094"
"nan","202.61111111111111","386.5","nan","197.74137931034483","262.28416347381864"
"nan","195.3548387096774","352.8125","nan","175.16666666666666","241.11133512544802"
"nan","208.0566037735849","417.28","nan","170.50746268656715","265.28135548671736"
"nan","191.03389830508473","410.51724137931035","nan","164.54285714285714","255.3646656090841"
"nan","168.61666666666667","339.1515151515151","nan","228.09803921568627","245.2887403446227"
"nan","171.64150943396226","302.7878787878788","nan","196.24137931034483","223.55692251072864"
"nan","158.03389830508473","332.37931034482756","nan","226.6086956521739","239.00730143402873"
"nan","182.48888888888888","332.61290322580646","nan","204.4909090909091","239.8642337352015"
"nan","157.5068493150685","318.14285714285717","nan","211.98245614035088","229.21072086609217"
"nan","175.64150943396226","302.8888888888889","nan","199.75","226.09346610761705"
"nan","235.96","322.7878787878788","nan","165.7941176470588","241.51399881164585"
"nan","182.83076923076922","332.3636363636364","nan","171.2941176470588","228.8295077471548"
"nan","197.62295081967213","358.88","nan","152.22972972972974","236.24422684980064"
"nan","267.1842105263158","286.42857142857144","nan","205.83673469387756","253.14983888292159"
"nan","169.34285714285716","279.5405405405405","nan","171.76271186440678","206.88203651593483"
"nan","205.92592592592592","309.15384615384613","nan","182.18965517241378","232.42314241739527"
"nan","173.21052631578948","280.84615384615387","nan","152.13333333333333","202.06333783175887"
"nan","194.43859649122808","304.90909090909093","nan","190.8909090909091","230.0795321637427"
"nan","235.04166666666666","257.75555555555553","nan","171.75","221.51574074074074"
"nan","176.8135593220339","280.93023255813955","nan","170.29508196721312","209.3462912824622"
"nan","176.0","273.5853658536585","nan","151.90666666666667","200.49734417344175"
