"PandaController_2019_08_11__07_58_24__024733gzfwxrhysh","PandaController_2019_08_11__10_19_04__127417bjsoeijqno","PandaController_2019_08_11__13_52_10__020172aunazfahtv","PandaController_2019_08_11__15_00_58__017286qhcugfzows","PandaController_2019_08_11__12_31_14__388038vpxtxvdzcw","Mean_over_grasps","Std_over_grasps"
"41.0","1.0","0.0","74.0","59.0","35.0","30.046630426721727"
"43.0","1.0","0.0","72.0","68.0","36.8","31.262757395981563"
"29.0","0.0","0.0","67.0","69.0","33.0","30.48278202526797"
"43.0","0.0","0.0","71.0","76.0","38.0","33.00303016391071"
"44.0","2.0","0.0","66.0","78.0","38.0","32.12475680841802"
"34.0","0.0","0.0","73.0","72.0","35.8","32.43701589234127"
"30.0","0.0","0.0","72.0","64.0","33.2","30.557486807654843"
"34.0","1.0","0.0","69.0","75.0","35.8","32.046216625367805"
"40.0","0.0","0.0","77.0","64.0","36.2","31.85215848258953"
"35.0","0.0","0.0","73.0","80.0","37.6","34.30801655590134"
"44.0","0.0","0.0","73.0","79.0","39.2","34.125650176956334"
"36.0","0.0","0.0","79.0","77.0","38.4","34.909024621149186"
"43.0","0.0","0.0","76.0","78.0","39.4","34.4882588716798"
"33.0","0.0","0.0","78.0","79.0","38.0","35.1965907439911"
"47.0","0.0","0.0","72.0","82.0","40.2","34.7470862087744"
"40.0","0.0","0.0","77.0","61.0","35.6","31.347089179060948"
"45.0","1.0","0.0","85.0","71.0","40.4","35.01770980518287"
"37.0","1.0","0.0","81.0","70.0","37.8","33.724768346128045"
"35.0","0.0","0.0","74.0","72.0","36.2","32.65823020312031"
"36.0","0.0","0.0","79.0","69.0","36.8","33.246954747766"
"34.0","0.0","0.0","75.0","80.0","37.8","34.7470862087744"
"36.0","0.0","0.0","73.0","74.0","36.6","32.87308929808697"
"25.0","0.0","0.0","79.0","68.0","34.4","33.386224704209965"
"38.0","0.0","0.0","75.0","78.0","38.2","34.225136961011565"
"39.0","3.0","0.0","78.0","85.0","41.0","35.87199464763564"
"45.0","1.0","0.0","82.0","73.0","40.2","34.63755187654"
"39.0","0.0","0.0","77.0","82.0","39.6","35.58988620380796"
"45.0","2.0","0.0","77.0","67.0","38.2","32.09610568277716"
"38.0","2.0","0.0","77.0","68.0","37.0","32.112302938282085"
"47.0","0.0","0.0","79.0","73.0","39.8","34.23098012035296"
"48.0","1.0","0.0","82.0","59.0","38.0","32.526911934581186"
"44.0","0.0","0.0","80.0","67.0","38.2","33.25296979218548"
"45.0","1.0","0.0","82.0","69.0","39.4","33.909290762267496"
"46.0","0.0","0.0","78.0","76.0","40.0","34.57166469813104"
"37.0","0.0","0.0","80.0","69.0","37.2","33.49865668948532"
"48.0","0.0","0.0","85.0","84.0","43.4","37.86079766724415"
"45.0","0.0","0.0","82.0","77.0","40.8","35.650525942824466"
"50.0","0.0","0.0","81.0","67.0","39.6","33.791123094682725"
"38.0","0.0","0.0","80.0","60.0","35.6","31.959974968701086"
"47.0","0.0","0.0","81.0","65.0","38.6","33.302252176091635"
"38.0","0.0","0.0","84.0","61.0","36.6","33.23612492454558"
"46.0","0.0","0.0","83.0","76.0","41.0","35.70994259306503"
"47.0","0.0","0.0","82.0","70.0","39.8","34.38837012712292"
"47.0","0.0","0.0","80.0","76.0","40.6","35.05196142871323"
"40.0","0.0","0.0","79.0","53.0","34.4","30.76751533679637"
"40.0","0.0","0.0","78.0","79.0","39.4","35.1089732119867"
"44.0","0.0","0.0","78.0","63.0","37.0","32.074912314767126"
"52.0","0.0","0.0","80.0","58.0","38.0","32.397530770106535"
"52.0","0.0","0.0","84.0","70.0","41.2","35.136306009596396"
"47.0","0.0","0.0","79.0","56.0","36.4","31.499841269441344"
"40.0","0.0","0.0","82.0","49.0","34.2","31.230754073509015"
"40.0","0.0","0.0","81.0","73.0","38.8","34.533462033222214"
"42.0","1.0","0.0","82.0","50.0","35.0","31.189741903388683"
"48.0","1.0","0.0","84.0","66.0","39.8","34.04937591204867"
"46.0","0.0","0.0","87.0","61.0","38.8","34.28935694935092"
"50.0","0.0","0.0","84.0","56.0","38.0","33.081717005016536"
"48.0","0.0","0.0","88.0","63.0","39.8","34.91933561796387"
"49.0","0.0","2.0","80.0","65.0","39.2","32.70107031887488"
"42.0","0.0","0.0","87.0","57.0","37.2","33.65352878971238"
"44.0","0.0","1.0","83.0","76.0","40.8","35.436704135683954"
"39.0","0.0","2.0","81.0","59.0","36.2","31.669543728951954"
"46.0","0.0","2.0","85.0","62.0","39.0","33.41855771872868"
"43.0","0.0","0.0","84.0","67.0","38.8","34.25434279036747"
"41.0","0.0","0.0","83.0","74.0","39.6","35.22839763599815"
"48.0","0.0","0.0","85.0","78.0","42.2","36.63004231501787"
"39.0","0.0","0.0","86.0","70.0","39.0","35.247694960096325"
"41.0","0.0","2.0","85.0","73.0","40.2","35.09643856575764"
"50.0","0.0","1.0","82.0","59.0","38.4","32.659454986266994"
"38.0","0.0","1.0","81.0","61.0","36.2","32.170794208412076"
"42.0","0.0","0.0","78.0","72.0","38.4","33.64282984530285"
"51.0","0.0","0.0","78.0","59.0","37.6","31.92867050160404"
"43.0","0.0","0.0","87.0","52.0","36.4","33.15780451115544"
"51.0","0.0","0.0","86.0","65.0","40.4","34.81723711037394"
"41.0","0.0","0.0","84.0","59.0","36.8","33.00545409474016"
"45.0","0.0","0.0","82.0","64.0","38.2","33.31306050185122"
"44.0","0.0","0.0","83.0","64.0","38.2","33.54042337240244"
"41.0","0.0","0.0","86.0","63.0","38.0","34.13502599969714"
